type_id:ID,:LABEL,label,category,unit,variable_name,source_tables,year_count,comparable_across_years,presence_count,quality
VAR_AGE_70to80FW_N,E55_Type,Number of widowed females aged 70 to 80,AGE,persons,AGE_70to80FW_N,"1851:V1T3,1861:V1T5",2,true,1620,signal
VAR_AGE_70to80MM_N,E55_Type,Number of married males aged 70 to 80,AGE,persons,AGE_70to80MM_N,"1851:V1T3,1861:V1T5",2,true,1705,signal
VAR_AGE_70to80MS_N,E55_Type,Number of single males aged 70 to 80,AGE,persons,AGE_70to80MS_N,"1851:V1T3,1861:V1T5",2,true,915,signal
VAR_AGE_70to80MW_N,E55_Type,Number of widowed males aged 70 to 80,AGE,persons,AGE_70to80MW_N,"1851:V1T3,1861:V1T5",2,true,1518,signal
VAR_AGE_80to90FM_N,E55_Type,Number of married females aged 80 to 90,AGE,persons,AGE_80to90FM_N,"1851:V1T3,1861:V1T5",2,true,706,signal
VAR_AGE_80to90FS_N,E55_Type,Number of single females aged 80 to 90,AGE,persons,AGE_80to90FS_N,"1851:V1T3,1861:V1T5",2,true,406,signal
VAR_AGE_80to90FW_N,E55_Type,Number of widowed females aged 80 to 90,AGE,persons,AGE_80to90FW_N,"1851:V1T3,1861:V1T5",2,true,1186,signal
VAR_AGE_80to90MM_N,E55_Type,Number of married males aged 80 to 90,AGE,persons,AGE_80to90MM_N,"1851:V1T3,1861:V1T5",2,true,1211,signal
VAR_AGE_80to90MS_N,E55_Type,Number of single males aged 80 to 90,AGE,persons,AGE_80to90MS_N,"1851:V1T3,1861:V1T5",2,true,439,signal
VAR_AGE_80to90MW_N,E55_Type,Number of widowed males aged 80 to 90,AGE,persons,AGE_80to90MW_N,"1851:V1T3,1861:V1T5",2,true,1144,signal
VAR_AGE_90to100FM_N,E55_Type,Number of married females aged 90 to 100,AGE,persons,AGE_90to100FM_N,"1851:V1T3,1861:V1T5",2,true,118,signal
VAR_AGE_90to100FS_N,E55_Type,Number of single females aged 90 to 100,AGE,persons,AGE_90to100FS_N,"1851:V1T3,1861:V1T5",2,true,93,sparse
VAR_AGE_90to100FW_N,E55_Type,Number of widowed females aged 90 to 100,AGE,persons,AGE_90to100FW_N,"1851:V1T3,1861:V1T5",2,true,420,signal
VAR_AGE_90to100MM_N,E55_Type,Number of married males aged 90 to 100,AGE,persons,AGE_90to100MM_N,"1851:V1T3,1861:V1T5",2,true,277,signal
VAR_AGE_90to100MS_N,E55_Type,Number of single males aged 90 to 100,AGE,persons,AGE_90to100MS_N,"1851:V1T3,1861:V1T5",2,true,98,sparse
VAR_AGE_90to100MW_N,E55_Type,Number of widowed males aged 90 to 100,AGE,persons,AGE_90to100MW_N,"1851:V1T3,1861:V1T5",2,true,348,signal
VAR_AGE_NF_N,E55_Type,Number of females of unknown age,AGE,persons,AGE_NF_N,"1851:V1T3,1861:V1T5",2,true,658,signal
VAR_AGE_NM_N,E55_Type,Number of males of unknown age,AGE,persons,AGE_NM_N,"1851:V1T3,1861:V1T5",2,true,810,signal
VAR_AGE_ov100FM_N,E55_Type,Number of married females over 100,AGE,persons,AGE_ov100FM_N,"1851:V1T3,1861:V1T5",2,true,7,sparse
VAR_AGE_ov100FS_N,E55_Type,Number of single females over 100,AGE,persons,AGE_ov100FS_N,"1851:V1T3,1861:V1T5",2,true,10,sparse
VAR_AGE_ov100FW_N,E55_Type,Number of widowed females over 100,AGE,persons,AGE_ov100FW_N,"1851:V1T3,1861:V1T5",2,true,49,sparse
VAR_AGE_ov100MM_N,E55_Type,Number of married males over 100,AGE,persons,AGE_ov100MM_N,"1851:V1T3,1861:V1T5",2,true,29,sparse
VAR_AGE_ov100MS_N,E55_Type,Number of single males over 100,AGE,persons,AGE_ov100MS_N,"1851:V1T3,1861:V1T5",2,true,10,sparse
VAR_AGE_ov100MW_N,E55_Type,Number of widowed males over 100,AGE,persons,AGE_ov100MW_N,"1851:V1T3,1861:V1T5",2,true,48,sparse
VAR_AGE_ov60F_N,E55_Type,Number of females over 60,AGE,persons,AGE_ov60F_N,1871:V1T1,1,false,71,sparse
VAR_AGE_ov60M_N,E55_Type,Number of males over 60,AGE,persons,AGE_ov60M_N,1871:V1T1,1,false,71,sparse
VAR_ARE_XX_A,E55_Type,Total area (acres),AGR,acres,ARE_XX_A,"1871:V1T1,1901:V1T7",2,true,4198,signal
VAR_BAR_XX_A,E55_Type,Acres of barley,AGR,acres,BAR_XX_A,"1851:V2T6,1861:V2T11,1891:V4T2",3,true,3963,signal
VAR_BAR_XX_B,E55_Type,Bushels of barley produced in the past year,AGR,bushels,BAR_XX_B,"1851:V2T6,1861:V2T11,1871:V1T1,1881:V3T24,1891:V4T2",5,true,6036,signal
VAR_BEAN_XX_B,E55_Type,Bushels of beans produced in the past year,AGR,bushels,BEAN_XX_B,"1851:V2T6,1861:V2T11,1871:V1T1,1891:V4T2",4,true,3355,signal
VAR_BEEF_XX_BL,E55_Type,Barrels of beef produced in the past year,AGR,barrels,BEEF_XX_BL,"1851:V2T6,1861:V2T11",2,true,1618,signal
VAR_BUT_XX_LB,E55_Type,Pounds of homemade butter,AGR,pounds,BUT_XX_LB,"1851:V2T6,1861:V2T11,1871:V1T1,1891:V4T3",4,true,4258,signal
VAR_BWT_XX_A,E55_Type,Acres of buckwheat,AGR,acres,BWT_XX_A,"1851:V2T6,1861:V2T11",2,true,1494,signal
VAR_BWT_XX_B,E55_Type,Bushels of buckwheat produced in the past year,AGR,bushels,BWT_XX_B,"1851:V2T6,1861:V2T11,1871:V1T1,1881:V3T24,1891:V4T2",5,true,5313,signal
VAR_CRN_XX_A,E55_Type,Acres of corn,AGR,acres,CRN_XX_A,"1851:V2T6,1861:V2T11",2,true,1399,signal
VAR_CRN_XX_B,E55_Type,Bushels of corn produced in the past year,AGR,bushels,CRN_XX_B,"1851:V2T6,1861:V2T11,1871:V1T1,1881:V3T24,1891:V4T2",5,true,5081,signal
VAR_CTL_CH_N,E55_Type,Number of calves and heifers,AGR,head,CTL_CH_N,"1851:V2T6,1861:V2T11",2,true,1794,signal
VAR_CTL_MX_N,E55_Type,Number of milk cows,AGR,count,CTL_MX_N,"1851:V2T6,1861:V2T11,1891:V4T3",3,true,4332,signal
VAR_CTL_OB_N,E55_Type,"Number of bulls, oxen, or steers",AGR,head,CTL_OB_N,"1851:V2T6,1861:V2T11",2,true,1798,signal
VAR_CTL_OTH_N,E55_Type,Number of other cattle,AGR,count,CTL_OTH_N,1891:V4T3,1,false,2447,signal
VAR_CTL_OX_N,E55_Type,Number of oxen,AGR,head,CTL_OX_N,1891:V4T3,1,false,2000,signal
VAR_CTL_PC_LB,E55_Type,Pounds of cheese produced on farms in the past year,AGR,pounds,CTL_PC_LB,"1851:V2T6,1861:V2T11,1871:V1T1,1891:V4T3",4,true,2600,signal
VAR_CTL_SX_N,E55_Type,Number of cattle killed or sold in the past year,AGR,head,CTL_SX_N,1891:V4T3,1,false,2375,signal
VAR_CTL_XX_N,E55_Type,Number of cattle,AGR,head,CTL_XX_N,1871:V1T1,1,false,71,sparse
VAR_FLH_XX_LB,E55_Type,Pounds of flax or hemp produced in the past year,AGR,pounds,FLH_XX_LB,"1851:V2T6,1861:V2T11",2,true,1243,signal
VAR_FLX_XX_LB,E55_Type,Pounds of flax produced in the past year,AGR,pounds,FLX_XX_LB,1871:V1T1,1,false,62,sparse
VAR_FML_XI_A,E55_Type,Acres of improved land in farms,AGR,acres,FML_XI_A,1891:V2T16,1,false,2460,signal
VAR_FML_XX_A,E55_Type,Acres of land in farms,AGR,acres,FML_XX_A,"1851:V2T6,1861:V2T11,1891:V2T16",3,true,4287,signal
VAR_FOWL_CX_N,E55_Type,Number of chickens,AGR,count,FOWL_CX_N,1891:V4T3,1,false,2465,signal
VAR_FOWL_DX_N,E55_Type,Number of ducks,AGR,count,FOWL_DX_N,1891:V4T3,1,false,2282,signal
VAR_FOWL_GX_N,E55_Type,Number of geese,AGR,count,FOWL_GX_N,1891:V4T3,1,false,2289,signal
VAR_FOWL_OTH_N,E55_Type,Number of other fowl,AGR,count,FOWL_OTH_N,1891:V4T3,1,false,1821,signal
VAR_FOWL_TX_N,E55_Type,Number of turkeys,AGR,count,FOWL_TX_N,1891:V4T3,1,false,2077,signal
VAR_FRM_Q1_N,E55_Type,Number of persons holding farmland of first quality,AGR,persons,FRM_Q1_N,1871:V1T1,1,false,70,sparse
VAR_FRM_Q2_N,E55_Type,Number of persons holding farmland of second quality,AGR,persons,FRM_Q2_N,1871:V1T1,1,false,69,sparse
VAR_FRM_Q3_N,E55_Type,Number of persons holding farmland of third quality,AGR,persons,FRM_Q3_N,1871:V1T1,1,false,64,sparse
VAR_FRM_XX_N,E55_Type,Number of occupants of farms,AGR,count,FRM_XX_N,"1851:V2T6,1861:V2T11,1891:V2T16",3,true,4284,signal
VAR_FRM_XX_V,E55_Type,Value of farms (dollars),AGR,dollars,FRM_XX_V,1861:V2T11,1,false,1017,signal
VAR_FRMLU_ARA_A,E55_Type,Acres of farmland in arable land,AGR,acres,FRMLU_ARA_A,1871:V1T1,1,false,71,sparse
VAR_FRMLU_CLT_A,E55_Type,Acres of farmland under cultivation,AGR,acres,FRMLU_CLT_A,"1851:V2T6,1861:V2T11",2,true,1826,signal
VAR_FRMLU_CRP_A,E55_Type,Acres of farmland under crops,AGR,acres,FRMLU_CRP_A,"1851:V2T6,1861:V2T11,1891:V2T16",3,true,4274,signal
VAR_FRMLU_GO_A,E55_Type,Acres of farmland in gardens or orchards,AGR,acres,FRMLU_GO_A,"1851:V2T6,1891:V2T16",2,true,3030,signal
VAR_FRMLU_GX_A,E55_Type,Acres of farmland in gardens,AGR,acres,FRMLU_GX_A,1861:V2T11,1,false,880,signal
VAR_FRMLU_PST_A,E55_Type,Acres of farmland in pasture,AGR,acres,FRMLU_PST_A,"1851:V2T6,1861:V2T11,1891:V2T16",3,true,4248,signal
VAR_FRMLU_WOD_A,E55_Type,Acres of farmland in woodland or forest,AGR,acres,FRMLU_WOD_A,"1851:V2T6,1861:V2T11,1891:V2T16",3,true,4225,signal
VAR_FRMSZ_0to10_N,E55_Type,Number of persons living on farms under 10 acres,AGR,persons,FRMSZ_0to10_N,"1851:V2T6,1861:V2T11,1891:V2T16",3,true,3848,signal
VAR_FRMSZ_100to200_N,E55_Type,Number of persons living on farms between 100 and 200 acres,AGR,persons,FRMSZ_100to200_N,"1851:V2T6,1861:V2T11",2,true,1766,signal
VAR_FRMSZ_101to200_N,E55_Type,Number of persons living on farms between 101 and 200 acres,AGR,persons,FRMSZ_101to200_N,1891:V2T16,1,false,2352,signal
VAR_FRMSZ_10to20_N,E55_Type,Number of persons living on farms between 10 and 20 acres,AGR,persons,FRMSZ_10to20_N,"1851:V2T6,1861:V2T11",2,true,1356,signal
VAR_FRMSZ_11to50_N,E55_Type,Number of persons living on farms between 11 and 50 acres,AGR,persons,FRMSZ_11to50_N,1891:V2T16,1,false,2356,signal
VAR_FRMSZ_20to50_N,E55_Type,Number of persons living on farms between 20 and 50 acres,AGR,persons,FRMSZ_20to50_N,"1851:V2T6,1861:V2T11",2,true,1706,signal
VAR_FRMSZ_50to100_N,E55_Type,Number of persons living on farms between 50 and 100 acres,AGR,persons,FRMSZ_50to100_N,"1851:V2T6,1861:V2T11",2,true,1783,signal
VAR_FRMSZ_51to100_N,E55_Type,Number of persons living on farms between 51 and 100 acres,AGR,persons,FRMSZ_51to100_N,1891:V2T16,1,false,2360,signal
VAR_FRMSZ_ov200_N,E55_Type,Number of persons living on farms over 200 acres,AGR,persons,FRMSZ_ov200_N,"1851:V2T6,1861:V2T11",2,true,1595,signal
VAR_FRMSZ_ov201_N,E55_Type,Number of persons living on farms over 200 acres,AGR,persons,FRMSZ_ov201_N,1891:V2T16,1,false,2234,signal
VAR_FRMTN_EX_N,E55_Type,Number of employees on farms,AGR,persons,FRMTN_EX_N,1891:V2T16,1,false,894,signal
VAR_FRMTN_OX_A,E55_Type,Acres of farmland owned,AGR,acres,FRMTN_OX_A,1871:V1T1,1,false,71,sparse
VAR_FRMTN_OX_N,E55_Type,Number of farm occupants who own their land,AGR,count,FRMTN_OX_N,1891:V2T16,1,false,2458,signal
VAR_FRMTN_RX_A,E55_Type,Acres of farmland rented,AGR,acres,FRMTN_RX_A,1871:V1T1,1,false,66,sparse
VAR_FRMTN_SX_A,E55_Type,Acres of farmland neither owned nor rented,AGR,acres,FRMTN_SX_A,1871:V1T1,1,false,32,sparse
VAR_FRMTN_TX_N,E55_Type,Number of farm occupants who rent their land,AGR,count,FRMTN_TX_N,1891:V2T16,1,false,2301,signal
VAR_FRMTN_VX_A,E55_Type,Acres of farmland held by verbal agreement,AGR,acres,FRMTN_VX_A,1871:V1T1,1,false,45,sparse
VAR_FRMTN_XA_A,E55_Type,Acres of farmland held by townspeople who are not farmers,AGR,acres,FRMTN_XA_A,1861:V2T11,1,false,764,signal
VAR_FRT_LX_A,E55_Type,Acres of farmland fertilized with lime,AGR,acres,FRT_LX_A,1871:V1T1,1,false,42,sparse
VAR_FRT_SX_A,E55_Type,Acres of farmland fertilized with shell manure,AGR,acres,FRT_SX_A,1871:V1T1,1,false,61,sparse
VAR_FRU_AO_V,E55_Type,Value of apples and other fruits produced in the past year,AGR,dollars,FRU_AO_V,1871:V1T1,1,false,60,sparse
VAR_FRU_PC_G,E55_Type,Gallons of cider produced in the past year,AGR,gallons,FRU_PC_G,"1851:V2T6,1861:V2T11",2,true,477,signal
VAR_FRU_PX_V,E55_Type,Value of garden and orchard crops produced in the past year,AGR,dollars,FRU_PX_V,1861:V2T11,1,false,814,signal
VAR_GRA_TX_B,E55_Type,Bushels of timothy grass seed produced in the past year,AGR,bushels,GRA_TX_B,1871:V1T1,1,false,70,sparse
VAR_GRA_XS_B,E55_Type,"Bushels of clover, timothy, or other grass seed produced in the past year",AGR,bushels,GRA_XS_B,"1851:V2T6,1861:V2T11,1881:V3T24,1891:V4T2",4,true,4534,signal
VAR_HAY_XX_A,E55_Type,Acres of hay crops,AGR,acres,HAY_XX_A,"1881:V3T24,1891:V4T2",2,true,4422,signal
VAR_HAY_XX_T,E55_Type,Tons of hay produced in the past year,AGR,tons,HAY_XX_T,"1851:V2T6,1861:V2T11,1871:V1T1,1881:V3T24,1891:V4T2",5,true,6390,signal
VAR_HOP_XX_LB,E55_Type,Pounds of hops produced in the past year,AGR,pounds,HOP_XX_LB,"1851:V2T6,1861:V2T11",2,true,784,signal
VAR_HRS_0to03_N,E55_Type,Number of horses aged 3 years and under,AGR,head,HRS_0to03_N,"1861:V2T11,1891:V4T3",2,true,3386,signal
VAR_HRS_ov03_N,E55_Type,Number of horses aged over 3 years,AGR,head,HRS_ov03_N,"1861:V2T11,1891:V4T3",2,true,3528,signal
VAR_HRS_ov03_V,E55_Type,Value of horses aged over 3 years,AGR,dollars,HRS_ov03_V,1861:V2T11,1,false,964,signal
VAR_HRS_XX_N,E55_Type,Number of horses,AGR,head,HRS_XX_N,"1851:V2T6,1871:V1T1",2,true,872,signal
VAR_LEG_CS_B,E55_Type,Bushels of clover seed produced in the past year,AGR,bushels,LEG_CS_B,1871:V1T1,1,false,55,sparse
VAR_LEG_VX_B,E55_Type,Bushels of vetches produced in the past year,AGR,bushels,LEG_VX_B,1871:V1T1,1,false,11,sparse
VAR_MACH_FI_V,E55_Type,Value of farm implements in dollars,AGR,dollars,MACH_FI_V,1861:V2T11,1,false,1007,signal
VAR_MACH_FX_N,E55_Type,Number of farming mills,AGR,count,MACH_FX_N,1871:V1T1,1,false,67,sparse
VAR_MACH_HB_N,E55_Type,Number of hay-making machines,AGR,count,MACH_HB_N,1871:V1T1,1,false,53,sparse
VAR_MACH_HE_N,E55_Type,Number of hay elevators,AGR,count,MACH_HE_N,1871:V1T1,1,false,30,sparse
VAR_MACH_HM_N,E55_Type,Number of hay mowing machines,AGR,count,MACH_HM_N,1871:V1T1,1,false,68,sparse
VAR_MACH_MD_N,E55_Type,Number of mud-digging machines,AGR,count,MACH_MD_N,1871:V1T1,1,false,64,sparse
VAR_MACH_OTH_N,E55_Type,Number of other machines,AGR,count,MACH_OTH_N,1871:V1T1,1,false,48,sparse
VAR_MACH_TX_N,E55_Type,Number of threshing machines,AGR,count,MACH_TX_N,1871:V1T1,1,false,71,sparse
VAR_MPL_PS_LB,E55_Type,Pounds of maple sugar produced in the past year,AGR,pounds,MPL_PS_LB,"1851:V2T6,1861:V2T11",2,true,1625,signal
VAR_OAT_XX_A,E55_Type,Acres of oats,AGR,acres,OAT_XX_A,"1851:V2T6,1861:V2T11,1891:V4T2",3,true,4204,signal
VAR_OAT_XX_B,E55_Type,Bushels of oats produced in the past year,AGR,bushels,OAT_XX_B,"1851:V2T6,1861:V2T11,1871:V1T1,1881:V3T24,1891:V4T2",5,true,6346,signal
VAR_PEA_BX_A,E55_Type,Bushels of peas and beans produced in the past year,AGR,bushels,PEA_BX_A,1881:V3T24,1,false,1995,signal
VAR_PEA_XX_A,E55_Type,Acres of peas,AGR,acres,PEA_XX_A,"1851:V2T6,1861:V2T11",2,true,1753,signal
VAR_PEA_XX_B,E55_Type,Bushels of peas produced in the past year,AGR,bushels,PEA_XX_B,"1851:V2T6,1861:V2T11,1871:V1T1,1891:V4T2",4,true,4038,signal
VAR_POT_XX_A,E55_Type,Acres of potatoes,AGR,acres,POT_XX_A,"1851:V2T6,1861:V2T11,1881:V3T24,1891:V4T2",4,true,6348,signal
