:START_ID,:END_ID,relationship_type,iou:float,from_fraction:float,to_fraction:float,year_from:int,year_to:int,:TYPE
CD_ON_Welland,CD_ON_Welland,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Wellington,CD_ON_Wellington,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Wentworth,CD_ON_Wentworth,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_York,CD_ON_York,WITHIN,0.8756,0.9989,0.8764,1851,1861,P134_continued
CD_PE_Prince_Edward_Island,CD_PE_Prince_Edward_Island,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_QC_Beauharnois,CD_QC_Huntingdon,CONTAINS,0.498,0.498,1.0,1851,1861,P134_continued
CD_QC_Beauharnois,CD_QC_Beauharnois,CONTAINS,0.1987,0.1987,1.0,1851,1861,P134_continued
CD_QC_Bellechasse,CD_QC_Bellechasse,CONTAINS,0.6324,0.6536,0.9511,1851,1861,P134_continued
CD_QC_Berthier,CD_QC_Joliette,CONTAINS,0.5567,0.5567,1.0,1851,1861,P134_continued
CD_QC_Berthier,CD_QC_Berthier,CONTAINS,0.4411,0.4411,1.0,1851,1861,P134_continued
CD_QC_Bonaventure,CD_QC_Bonaventure,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_QC_Chambly,CD_QC_Chambly,CONTAINS,0.6683,0.6737,0.9881,1851,1861,P134_continued
CD_QC_Champlain,CD_QC_Champlain,CONTAINS,0.9409,0.9409,1.0,1851,1861,P134_continued
CD_QC_Dorchester,CD_QC_Lévis,CONTAINS,0.1287,0.1287,1.0,1851,1861,P134_continued
CD_QC_Drummond,CD_QC_Drummond,CONTAINS,0.3803,0.3803,1.0,1851,1861,P134_continued
CD_QC_Gaspé,CD_QC_Gaspé,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_QC_Huntingdon,CD_QC_Napierville,CONTAINS,0.3249,0.3249,1.0,1851,1861,P134_continued
CD_QC_Huntingdon,CD_QC_Laprairie,CONTAINS,0.3429,0.3474,0.9639,1851,1861,P134_continued
CD_QC_Kamouraska,CD_QC_Kamouraska,WITHIN,0.9707,0.9707,1.0,1851,1861,P134_continued
CD_QC_Leinster,CD_QC_L'Assomption,CONTAINS,0.1798,0.1798,1.0,1851,1861,P134_continued
CD_QC_Leinster,CD_QC_Montcalm,CONTAINS,0.8187,0.8202,0.9978,1851,1861,P134_continued
CD_QC_Lotbinière,CD_QC_Lotbiniere,SAME_AS,0.9979,0.9979,1.0,1851,1861,P134_continued
CD_QC_L’Islet,CD_QC_L'Islet,CONTAINS,0.5604,0.5604,1.0,1851,1861,P134_continued
CD_QC_Megantic,CD_QC_Megantic,CONTAINS,0.4525,0.454,0.9925,1851,1861,P134_continued
CD_QC_Megantic,CD_QC_Mégantic,CONTAINS,0.0609,0.0609,1.0,1851,1861,P134_continued
CD_QC_Montmorenci,CD_QC_Montmorency,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_QC_Montréal,CD_QC_Hochelaga,CONTAINS,0.5022,0.5022,1.0,1851,1861,P134_continued
"CD_QC_Montréal,_cité",CD_QC_City_of_Montreal,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_QC_Nicolet,CD_QC_Nicolet,CONTAINS,0.862,0.862,1.0,1851,1861,P134_continued
CD_QC_Outaouais,CD_QC_Pontiac,CONTAINS,0.6196,0.6196,1.0,1851,1861,P134_continued
CD_QC_Outaouais,CD_QC_Outaouais,CONTAINS,0.3804,0.3804,1.0,1851,1861,P134_continued
CD_QC_Portneuf,CD_QC_Portneuf,WITHIN,0.973,0.973,1.0,1851,1861,P134_continued
CD_QC_Québec,CD_QC_Quebec_(Comté),SAME_AS,0.9847,1.0,0.9847,1851,1861,P134_continued
"CD_QC_Québec,_cité",CD_QC_City_of_Quebec,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_QC_Richelieu,CD_QC_Richelieu,CONTAINS,0.5673,0.5687,0.9955,1851,1861,P134_continued
CD_QC_Rimouski,CD_QC_Temiscouata,CONTAINS,0.2493,0.2504,0.9827,1851,1861,P134_continued
CD_QC_Rimouski,CD_QC_Rimouski,CONTAINS,0.7496,0.7496,1.0,1851,1861,P134_continued
CD_QC_Rouville,CD_QC_Iberville,CONTAINS,0.5303,0.5303,1.0,1851,1861,P134_continued
CD_QC_Saguenay,CD_QC_Chicoutimi,CONTAINS,0.2883,0.2883,1.0,1851,1861,P134_continued
CD_QC_Saguenay,CD_QC_Charlevoix,CONTAINS,0.0164,0.0164,1.0,1851,1861,P134_continued
CD_QC_Saguenay,CD_QC_Saguenay,CONTAINS,0.6953,0.6953,1.0,1851,1861,P134_continued
CD_QC_Shefford,CD_QC_Shefford,CONTAINS,0.7409,0.7409,1.0,1851,1861,P134_continued
CD_QC_Sherbrooke,CD_QC_Town_of_Sherbrooke,CONTAINS,0.0896,0.0896,1.0,1851,1861,P134_continued
CD_QC_Sherbrooke,CD_QC_Compton,CONTAINS,0.5508,0.5508,1.0,1851,1861,P134_continued
CD_QC_Sherbrooke,CD_QC_Richmond,CONTAINS,0.2099,0.2099,1.0,1851,1861,P134_continued
CD_QC_St._Maurice,CD_QC_City_of_Three_Rivers,CONTAINS,0.0007,0.0007,1.0,1851,1861,P134_continued
CD_QC_St._Maurice,CD_QC_Maskinonge,CONTAINS,0.0541,0.0541,1.0,1851,1861,P134_continued
CD_QC_St._Maurice,CD_QC_St._Maurice,CONTAINS,0.9361,0.9452,0.9898,1851,1861,P134_continued
CD_QC_Stanstead,CD_QC_Stanstead,CONTAINS,0.6562,0.6562,1.0,1851,1861,P134_continued
CD_QC_Terrebonne,CD_QC_Laval,CONTAINS,0.1895,0.1895,1.0,1851,1861,P134_continued
CD_QC_Two_Mountains,CD_QC_Two_Mountains,CONTAINS,0.2176,0.2183,0.9865,1851,1861,P134_continued
CD_QC_Two_Mountains,CD_QC_Argenteuil,CONTAINS,0.7043,0.7313,0.9502,1851,1861,P134_continued
CD_QC_Vaudreuil,CD_QC_Soulanges,CONTAINS,0.4125,0.4125,1.0,1851,1861,P134_continued
CD_QC_Vaudreuil,CD_QC_Vaudreuil,CONTAINS,0.5875,0.5875,1.0,1851,1861,P134_continued
CD_QC_Verchères,CD_QC_Vercheres,SAME_AS,0.9945,1.0,0.9945,1851,1861,P134_continued
CD_QC_Yamaska,CD_QC_Yamaska,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_NB_New_Brunswick,CD_NB_Charlotte,CONTAINS,0.0496,0.0496,1.0,1861,1871,P134_continued
CD_NB_New_Brunswick,CD_NB_St._John,CONTAINS,0.0217,0.0217,1.0,1861,1871,P134_continued
CD_NB_New_Brunswick,CD_NB_King's,CONTAINS,0.0488,0.0488,1.0,1861,1871,P134_continued
CD_NB_New_Brunswick,CD_NB_Sunbury,CONTAINS,0.0379,0.0379,1.0,1861,1871,P134_continued
CD_NB_New_Brunswick,CD_NB_Queen's,CONTAINS,0.0543,0.0543,1.0,1861,1871,P134_continued
CD_NB_New_Brunswick,CD_NB_York,CONTAINS,0.1267,0.1267,1.0,1861,1871,P134_continued
CD_NB_New_Brunswick,CD_NB_Albert,CONTAINS,0.0253,0.0253,1.0,1861,1871,P134_continued
CD_NB_New_Brunswick,CD_NB_Westmorland,CONTAINS,0.0515,0.0515,1.0,1861,1871,P134_continued
CD_NB_New_Brunswick,CD_NB_Carleton,CONTAINS,0.0462,0.0462,1.0,1861,1871,P134_continued
CD_NB_New_Brunswick,CD_NB_Victoria,CONTAINS,0.1242,0.1242,1.0,1861,1871,P134_continued
CD_NB_New_Brunswick,CD_NB_Kent,CONTAINS,0.0637,0.0637,1.0,1861,1871,P134_continued
CD_NB_New_Brunswick,CD_NB_Northumberland,CONTAINS,0.168,0.168,1.0,1861,1871,P134_continued
CD_NB_New_Brunswick,CD_NB_Gloucester,CONTAINS,0.0627,0.0627,1.0,1861,1871,P134_continued
CD_NB_New_Brunswick,CD_NB_Restigouche,CONTAINS,0.1193,0.1193,1.0,1861,1871,P134_continued
CD_NL_Newfoundland,CD_NL_Newfoundland,SAME_AS,1.0,1.0,1.0,1861,1871,P134_continued
CD_NS_Nova_Scotia,CD_NS_Yarmouth,CONTAINS,0.0426,0.0426,1.0,1861,1871,P134_continued
CD_NS_Nova_Scotia,CD_NS_Shelburne,CONTAINS,0.0722,0.0722,1.0,1861,1871,P134_continued
CD_NS_Nova_Scotia,CD_NS_Digby,CONTAINS,0.0482,0.0482,1.0,1861,1871,P134_continued
CD_NS_Nova_Scotia,CD_NS_Queens,CONTAINS,0.0254,0.0254,1.0,1861,1871,P134_continued
CD_NS_Nova_Scotia,CD_NS_Annapolis,CONTAINS,0.0605,0.0605,1.0,1861,1871,P134_continued
CD_NS_Nova_Scotia,CD_NS_Lunenburg,CONTAINS,0.0562,0.0562,1.0,1861,1871,P134_continued
CD_NS_Nova_Scotia,CD_NS_King's,CONTAINS,0.0395,0.0395,1.0,1861,1871,P134_continued
CD_NS_Nova_Scotia,"CD_NS_Halifax,_West",CONTAINS,0.0224,0.0224,1.0,1861,1871,P134_continued
CD_NS_Nova_Scotia,CD_NS_Hants,CONTAINS,0.056,0.056,1.0,1861,1871,P134_continued
CD_NS_Nova_Scotia,"CD_NS_Halifax,_East",CONTAINS,0.0845,0.0845,1.0,1861,1871,P134_continued
CD_NS_Nova_Scotia,CD_NS_Cumberland,CONTAINS,0.0778,0.0778,1.0,1861,1871,P134_continued
CD_NS_Nova_Scotia,CD_NS_Colchester,CONTAINS,0.0651,0.0651,1.0,1861,1871,P134_continued
CD_NS_Nova_Scotia,CD_NS_Pictou,CONTAINS,0.0512,0.0512,1.0,1861,1871,P134_continued
CD_NS_Nova_Scotia,CD_NS_Guysborough,CONTAINS,0.0754,0.0754,1.0,1861,1871,P134_continued
CD_NS_Nova_Scotia,CD_NS_Antigonish,CONTAINS,0.0269,0.0269,1.0,1861,1871,P134_continued
CD_NS_Nova_Scotia,CD_NS_Richmond,CONTAINS,0.0242,0.0242,1.0,1861,1871,P134_continued
CD_NS_Nova_Scotia,CD_NS_Cape_Breton,CONTAINS,0.0471,0.0471,1.0,1861,1871,P134_continued
CD_NS_Nova_Scotia,CD_NS_Inverness,CONTAINS,0.073,0.073,1.0,1861,1871,P134_continued
CD_NS_Nova_Scotia,CD_NS_Victoria,CONTAINS,0.0519,0.0519,1.0,1861,1871,P134_continued
CD_NT_The_Territories,CD_MB_Manitoba,CONTAINS,0.0162,0.0162,1.0,1861,1871,P134_continued
CD_NT_The_Territories,CD_BC_British_Colombia,CONTAINS,0.1103,0.1103,1.0,1861,1871,P134_continued
CD_NT_The_Territories,CD_NT_The_Territories,CONTAINS,0.8736,0.8736,1.0,1861,1871,P134_continued
CD_ON_Algoma,CD_ON_Manitoulin,CONTAINS,0.0313,0.0313,1.0,1861,1871,P134_continued
CD_ON_Algoma,"CD_ON_Algoma,_Centre",CONTAINS,0.0563,0.0563,1.0,1861,1871,P134_continued
CD_ON_Algoma,"CD_ON_Algoma,_East—Est",CONTAINS,0.2888,0.2888,1.0,1861,1871,P134_continued
CD_ON_Algoma,"CD_ON_Algoma,_West—Ouest",CONTAINS,0.6236,0.6236,1.0,1861,1871,P134_continued
CD_ON_Bruce,"CD_ON_Bruce,_South—Sud",CONTAINS,0.4229,0.4229,1.0,1861,1871,P134_continued
CD_ON_Bruce,"CD_ON_Bruce,_North—Nord",CONTAINS,0.5771,0.5771,1.0,1861,1871,P134_continued
CD_ON_Carleton,CD_ON_Carleton,CONTAINS,0.6944,0.6951,0.9986,1861,1871,P134_continued
CD_ON_Dundas,CD_ON_Dundas,SAME_AS,1.0,1.0,1.0,1861,1871,P134_continued
CD_ON_Durham_,"CD_ON_Durham,_West—Ouest",CONTAINS,0.4521,0.4521,1.0,1861,1871,P134_continued
CD_ON_Durham_,"CD_ON_Durham,_East—Est",CONTAINS,0.4862,0.4862,1.0,1861,1871,P134_continued
CD_ON_Elgin,"CD_ON_Elgin,_West—Ouest",CONTAINS,0.4948,0.4948,1.0,1861,1871,P134_continued
CD_ON_Elgin,"CD_ON_Elgin,_East—Est",CONTAINS,0.5052,0.5052,1.0,1861,1871,P134_continued
CD_ON_Essex,CD_ON_Essex,SAME_AS,1.0,1.0,1.0,1861,1871,P134_continued
CD_ON_Frontenac,CD_ON_Frontenac,CONTAINS,0.2206,0.2208,0.9973,1861,1871,P134_continued
CD_ON_Glengary_,CD_ON_Glengarry,SAME_AS,1.0,1.0,1.0,1861,1871,P134_continued
CD_ON_Grenville_,"CD_ON_Grenville,_South—Sud",CONTAINS,0.5195,0.5195,1.0,1861,1871,P134_continued
CD_ON_Grey,"CD_ON_Grey,_South—Sud",CONTAINS,0.5031,0.5031,1.0,1861,1871,P134_continued
CD_ON_Grey,"CD_ON_Grey,_North—Nord",CONTAINS,0.4969,0.4969,1.0,1861,1871,P134_continued
CD_ON_Haldimand,CD_ON_Haldimand,CONTAINS,0.8102,0.8102,1.0,1861,1871,P134_continued
CD_ON_Halton,CD_ON_Halton,SAME_AS,1.0,1.0,1.0,1861,1871,P134_continued
CD_ON_Hamilton,CD_ON_Hamilton,SAME_AS,1.0,1.0,1.0,1861,1871,P134_continued
CD_ON_Hastings,"CD_ON_Hastings,_West—Ouest",CONTAINS,0.0509,0.0509,1.0,1861,1871,P134_continued
CD_ON_Hastings,"CD_ON_Hastings,_East—Est",CONTAINS,0.1684,0.1684,1.0,1861,1871,P134_continued
CD_ON_Hastings,"CD_ON_Hastings,_North—Nord",CONTAINS,0.7808,0.7808,1.0,1861,1871,P134_continued
CD_ON_Huron,"CD_ON_Huron,_South—Sud",CONTAINS,0.3254,0.3254,1.0,1861,1871,P134_continued
CD_ON_Huron,"CD_ON_Huron,_North—Nord",CONTAINS,0.5576,0.5576,1.0,1861,1871,P134_continued
CD_ON_Kingston,CD_ON_Kingston,CONTAINS,0.751,0.751,1.0,1861,1871,P134_continued
CD_ON_Lambton,CD_ON_Lambton,CONTAINS,0.6978,0.6978,1.0,1861,1871,P134_continued
CD_ON_Lanark,"CD_ON_Lanark,_South—Sud",CONTAINS,0.4352,0.4352,1.0,1861,1871,P134_continued
CD_ON_Lanark,"CD_ON_Lanark,_North—Nord",CONTAINS,0.5103,0.5103,1.0,1861,1871,P134_continued
CD_ON_Leeds,CD_ON_Brockville,CONTAINS,0.1493,0.1493,1.0,1861,1871,P134_continued
CD_ON_Lennox_and_Addington_,CD_ON_Lennox,CONTAINS,0.2729,0.2729,1.0,1861,1871,P134_continued
CD_ON_Lincoln,CD_ON_Lincoln,CONTAINS,0.5152,0.5152,1.0,1861,1871,P134_continued
CD_ON_Lincoln,CD_ON_Niagara,CONTAINS,0.1214,0.1214,1.0,1861,1871,P134_continued
CD_ON_London,CD_ON_London,SAME_AS,1.0,1.0,1.0,1861,1871,P134_continued
CD_ON_Middlesex,"CD_ON_Middlesex,_West—Ouest",CONTAINS,0.3574,0.3574,1.0,1861,1871,P134_continued
CD_ON_Middlesex,"CD_ON_Middlesex,_East—Est",CONTAINS,0.399,0.399,1.0,1861,1871,P134_continued
CD_ON_Nipissing,"CD_ON_Nipissing,_South—Sud",CONTAINS,0.181,0.181,1.0,1861,1871,P134_continued
CD_ON_Nipissing,CD_ON_Parry_Sound,CONTAINS,0.2004,0.2004,1.0,1861,1871,P134_continued
CD_ON_Nipissing,"CD_ON_Nipissing,_North—Nord",CONTAINS,0.6102,0.6102,1.0,1861,1871,P134_continued
CD_ON_Norfolk,"CD_ON_Norfolk,_South—Sud",CONTAINS,0.5482,0.5482,1.0,1861,1871,P134_continued
CD_ON_Norfolk,"CD_ON_Norfolk,_North—Nord",CONTAINS,0.4518,0.4518,1.0,1861,1871,P134_continued
CD_ON_Northumberland,"CD_ON_Northumberland,_West—Ouest",CONTAINS,0.3695,0.3695,1.0,1861,1871,P134_continued
CD_ON_Northumberland,"CD_ON_Northumberland,_East—Est",CONTAINS,0.5867,0.5867,1.0,1861,1871,P134_continued
CD_ON_Ontario,"CD_ON_Ontario,_South—Sud",CONTAINS,0.2484,0.2484,1.0,1861,1871,P134_continued
CD_ON_Ontario,"CD_ON_Ontario,_North—Nord",CONTAINS,0.7516,0.7516,1.0,1861,1871,P134_continued
CD_ON_Ottawa,"CD_ON_Ottawa,_City—Cité",CONTAINS,0.7837,0.7837,1.0,1861,1871,P134_continued
CD_ON_Oxford,"CD_ON_Oxford,_South—Sud",CONTAINS,0.4587,0.4587,1.0,1861,1871,P134_continued
CD_ON_Oxford,"CD_ON_Oxford,_North—Nord",CONTAINS,0.5413,0.5413,1.0,1861,1871,P134_continued
CD_ON_Peel,CD_ON_Peel,CONTAINS,0.5724,0.5724,1.0,1861,1871,P134_continued
CD_ON_Perth,"CD_ON_Perth,_South—Sud",CONTAINS,0.3902,0.3902,1.0,1861,1871,P134_continued
CD_ON_Perth,"CD_ON_Perth,_North—Nord",CONTAINS,0.6098,0.6098,1.0,1861,1871,P134_continued
CD_ON_Prescott,CD_ON_Prescott,SAME_AS,1.0,1.0,1.0,1861,1871,P134_continued
CD_ON_Prince_Edward,CD_ON_Prince_Edward,SAME_AS,1.0,1.0,1.0,1861,1871,P134_continued
CD_ON_Renfew,"CD_ON_Renfrew,_South—Sud",WITHIN,0.001,1.0,0.001,1861,1871,P134_continued
CD_ON_Renfrew,"CD_ON_Renfrew,_South—Sud",CONTAINS,0.5043,0.5046,0.999,1861,1871,P134_continued
CD_ON_Russell,CD_ON_Russell,WITHIN,0.5886,1.0,0.5886,1861,1871,P134_continued
CD_ON_Simcoe,"CD_ON_Simcoe,_South—Sud",CONTAINS,0.2045,0.2045,1.0,1861,1871,P134_continued
CD_ON_Simcoe,"CD_ON_Simcoe,_North—Nord",CONTAINS,0.4076,0.4076,1.0,1861,1871,P134_continued
CD_ON_Stormont,CD_ON_Cornwall,CONTAINS,0.2712,0.2712,1.0,1861,1871,P134_continued
CD_ON_Stormont,CD_ON_Stormont,CONTAINS,0.7288,0.7288,1.0,1861,1871,P134_continued
CD_ON_Toronto,"CD_ON_Toronto,_West—Ouest",CONTAINS,0.6018,0.6018,1.0,1861,1871,P134_continued
CD_ON_Toronto,"CD_ON_Toronto,_East—Est",CONTAINS,0.2859,0.2859,1.0,1861,1871,P134_continued
CD_ON_Victoria,"CD_ON_Victoria,_North—Nord",CONTAINS,0.4289,0.4289,1.0,1861,1871,P134_continued
CD_ON_Waterloo,"CD_ON_Waterloo,_South—Sud",CONTAINS,0.4822,0.4822,1.0,1861,1871,P134_continued
CD_ON_Waterloo,"CD_ON_Waterloo,_North—Nord",CONTAINS,0.5178,0.5178,1.0,1861,1871,P134_continued
CD_ON_Welland,CD_ON_Welland,CONTAINS,0.6642,0.6642,1.0,1861,1871,P134_continued
CD_ON_Wellington,"CD_ON_Wellington,_South—Sud",CONTAINS,0.1291,0.1291,1.0,1861,1871,P134_continued
CD_ON_Wellington,"CD_ON_Wellington,_Centre",CONTAINS,0.3354,0.3357,0.9975,1861,1871,P134_continued
CD_ON_Wellington,"CD_ON_Wellington,_North—Nord",CONTAINS,0.5352,0.5352,1.0,1861,1871,P134_continued
CD_ON_Wentworth,"CD_ON_Wentworth,_North—Nord",CONTAINS,0.4915,0.4915,1.0,1861,1871,P134_continued
CD_ON_Wentworth,"CD_ON_Wentworth,_South—Sud",CONTAINS,0.5085,0.5085,1.0,1861,1871,P134_continued
CD_ON_York,"CD_ON_York,_West—Ouest",CONTAINS,0.2149,0.2151,0.9957,1861,1871,P134_continued
CD_ON_York,"CD_ON_York,_East—Est",CONTAINS,0.2216,0.2216,1.0,1861,1871,P134_continued
CD_ON_York,"CD_ON_York,_North—Nord",CONTAINS,0.5633,0.5633,1.0,1861,1871,P134_continued
CD_PE_Prince_Edward_Island,CD_PE_Queen's,CONTAINS,0.3552,0.3552,1.0,1861,1871,P134_continued
CD_PE_Prince_Edward_Island,CD_PE_Prince,CONTAINS,0.3525,0.3525,1.0,1861,1871,P134_continued
CD_PE_Prince_Edward_Island,CD_PE_King's,CONTAINS,0.2924,0.2924,1.0,1861,1871,P134_continued
CD_QC_Argenteuil,CD_QC_Argenteuil,SAME_AS,1.0,1.0,1.0,1861,1871,P134_continued
CD_QC_Arthabaska,CD_QC_Arthabaska,CONTAINS,0.8717,0.888,0.9794,1861,1871,P134_continued
CD_QC_Bagot,CD_QC_Bagot,WITHIN,0.9648,0.9648,1.0,1861,1871,P134_continued
CD_QC_Beauce,CD_QC_Beauce_Est,CONTAINS,0.4729,0.4778,0.9788,1861,1871,P134_continued
CD_QC_Beauharnois,CD_QC_Beauharnois,SAME_AS,1.0,1.0,1.0,1861,1871,P134_continued
CD_QC_Bellechasse,CD_QC_Bellechasse_Sud,CONTAINS,0.7099,0.7099,1.0,1861,1871,P134_continued
CD_QC_Bellechasse,CD_QC_Bellechasse_Nord,CONTAINS,0.2901,0.2901,1.0,1861,1871,P134_continued
CD_QC_Berthier,CD_QC_Berthier,WITHIN,0.9677,0.9677,1.0,1861,1871,P134_continued
CD_QC_Bonaventure,CD_QC_Bonaventure,SAME_AS,1.0,1.0,1.0,1861,1871,P134_continued
CD_QC_Brome,CD_QC_Brome,SAME_AS,1.0,1.0,1.0,1861,1871,P134_continued
CD_QC_Chambly,CD_QC_Chambly,SAME_AS,1.0,1.0,1.0,1861,1871,P134_continued
CD_QC_Champlain,CD_QC_Champlain_Sud,CONTAINS,0.1361,0.1361,1.0,1861,1871,P134_continued
CD_QC_Champlain,CD_QC_Champlain_Nord,CONTAINS,0.8639,0.8639,1.0,1861,1871,P134_continued
CD_QC_Charlevoix,CD_QC_Charlevoix,SAME_AS,1.0,1.0,1.0,1861,1871,P134_continued
CD_QC_Chateauguay,CD_QC_Chateauguay,SAME_AS,0.9957,0.9957,1.0,1861,1871,P134_continued
CD_QC_Chicoutimi,CD_QC_Chicoutimi,SAME_AS,0.9971,0.9971,1.0,1861,1871,P134_continued
CD_QC_City_of_Montreal,CD_QC_Montreal_Ouest,CONTAINS,0.5501,0.5501,1.0,1861,1871,P134_continued
CD_QC_City_of_Montreal,CD_QC_Montreal_Centre,CONTAINS,0.0453,0.0453,1.0,1861,1871,P134_continued
